03,9.05,0.11,9.52
2.09,0.15,9.41
2.12,0.05,9.40
2.11,0.06,9.37
1.96,0.11,9.49
2.13,0.10,9.52
2.11,0.09,9.56
2.08,0.09,9.44
2.05,0.11,9.52
2.09,0.15,9.41
2.12,0.05,9.40
2.11,0.06,9.37
1.96,0.11,9.49
2.0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
1.83,0.15,9.75
2.00,0.12,9.34
2.08,0.12,9.38
2.00,0.07,9.45
1.97,0.10,9.44
2.00,0.14,9.62
1.92,0.10,9.44
1.92,0.03,9.63
1.95,0.02,9.50
1.91,-0.04,9.66
1.89,0.08,9.53
1.80,0.03,9.57
1.94,0.09,9.50
1.93,0.01,9.50
1.99,0.05,9.48
1.90,0.03,9.49
1.93,0.01,9.52
1.93,0.00,9.67
1.94,0.04,9.46
1.91,0.06,9.43
2.01,0.05,9.51
1.99,0.02,9.61
1.94,0.05,9.63
1.91,0.01,9.64
1.97,0.10,9.50
1.84,0.12,9.39
1.94,0.20,9.40
1.77,0.10,9.46
1.90,0.05,9.51
1.87,0.03,9.71
1.92,0.05,9.42
1.91,0.04,9.50
1.97,0.02,9.41
1.97,-0.01,9.52
2.00,-0.01,9.54
1.91,0.02,9.52
2.00,0.03,9.53
1.96,0.06,9.40
